Functions/Localspace/V2/TransformPosition.uasset	TransformPosition	Transforms a Position from a Source coordinate space into the Destination coordinate space.	—
Functions/Localspace/V2/TransformVector.uasset	TransformVector	Transforms a Vector from a Source coordinate space into the Destination coordinate space. Use this when transforming vectors such as surface normals.	—
Functions/Localspace/VectorToPosition.uasset	VectorToPosition	652 | 1	WARNING: Conversions between Positions and Vectors is a potentially unsafe or at least lossy operation if working in Large World Coordinate space. Most operations to Positions can be accomplished by adding or removing offset vectors to them, and conversion between the types can lead to unintended side effects.
Functions/MakeScaleMatrix.uasset	MakeScaleMatrix	—	—
Functions/MakeTransformMatrix.uasset	MakeTransformMatrix	OutMatrix[0][0] = InMatrix[0][0] * Scale.x;	—
Functions/MakeTranslationMatrix.uasset	MakeTranslationMatrix	—	—
Functions/MakeVectorsOrthogonal.uasset	MakeVectorsOrthogonal	Make 3 vectors orthogonal to each other.	—
Functions/Masks/ConeMask.uasset	ConeMask	680 | 1	Returns a black and white value. If the particle position lies within a cone defined by the parameters.
Functions/Masks/RegionMaskBox.uasset	RegionMaskBox	—	—
Functions/Masks/RegionMaskPlane.uasset	RegionMaskPlane	—	—
Functions/Masks/RegionMaskSlab.uasset	RegionMaskSlab	—	—
Functions/Masks/RegionMaskSphere.uasset	RegionMaskSphere	—	—
Functions/Math/BarycentricCoordinates/FindBarycentricCoordinate.uasset	FindBarycentricCoordinate	Derives the barycentric coordinate for a given triangle using it's verts. If the point is not on the triangle the output is invalid.	—
Functions/Math/BarycentricCoordinates/FindNearestBarycentricCoordinateEdge.uasset	FindNearestBarycentricCoordinateEdge	Given a valid barycentric coordinate, this function will return the closest edge. If all 3 edges are equally close the edge index will be invalid. The first edge will be returned in that case and the Equidistant bool will return true. 	—
Functions/Math/BarycentricCoordinates/TranslateBarycentricEdgeCoordinates.uasset	TranslateBarycentricEdgeCoordinates	Given a valid barycentric coordinate on the edge of a triangle, the first triangle's edge index and the neighbor's triangle edge index we can translate the barycentric coordinates from one triangle to another's.	—
Functions/Math/BarycentricCoordinates/ValidateBarycentricCoordinates.uasset	ValidateBarycentricCoordinates	This ensures that the barycentric coordinates for a tricoordinate are within a valid range. It also provides an option to offset samples so that exact vertices aren't sampled directly. This can be helpful in a number of algorithms.	—
Functions/Math/CalculateLinePlaneIntersection.uasset	CalculateLinePlaneIntersection	672 | 1	Finds the distance to a plane given a trace origin, vector and plane description. If the line and the plane are aligned the line intersection vector produces NANs. To avoid referencing this value reference the output bool called "Line Intersects" approriately. 
Functions/Math/CalculateRandomPointInConeSphereIntersection.uasset	CalculateRandomPointInConeSphereIntersection	Find a random position in the intersection between a cone and a sphere.	—
Functions/Math/CalculateVolumeOfA_Sphere.uasset	CalculateVolumeOfA_Sphere	Returns the volume of a sphere defined by it's radius.	—
Functions/Math/CentimeterMeterConversion.uasset	CentimeterMeterConversion	This function converts meters to centimeters and centimeters to meters.	—
Functions/Math/ConeSphereIntersection.uasset	ConeSphereIntersection	—	—
Functions/Math/ConstrainToPlane.uasset	ConstrainToPlane	This experimental node aligns sprites to the surface of an analytical plane.	—
Functions/Math/DeriveTriangleInformation.uasset	DeriveTriangleInformation	628 | 1	Derive a triangles normal, edge normals, centers and retrieve its vertex positions.  
Functions/Math/DeriveZ.uasset	DeriveZ	—	—
Functions/Math/FindMidPointBetweenPositions.uasset	FindMidPointBetweenPositions	Finds the middle point between two positions. A weight value of 0.5 is the exact midpoint between the two.	—
Functions/Math/FindMidPointBetweenVectors.uasset	FindMidPointBetweenVectors	—	—
Functions/Math/FindPixelCenter_1D.uasset	FindPixelCenter_1D	Use this function to find the center of a pixel given an index and the number of items in the array (the number of pixels for the given axis).	—
Functions/Math/FindPixelCenter_2D.uasset	FindPixelCenter_2D	Finds the uv location of the center of a pixel.	—
Functions/Math/FindPlaneRayIntersection.uasset	FindPlaneRayIntersection	—	—
Functions/Math/FindTangentialVelocityOnSphere.uasset	FindTangentialVelocityOnSphere	Finds the tangential surface speed on a rotating sphere. 	—
Functions/Math/FloatAsInt.uasset	FloatAsInt	This node only works in GPU systems for the time being.	—
Functions/Math/GetMatrixScale.uasset	GetMatrixScale	Returns a given transformation matrix's scale.	—
Functions/Math/GetMatrixTranslation.uasset	GetMatrixTranslation	Retrieve a transformation matrix's translation.	—
Functions/Math/IntAsFloat.uasset	IntAsFloat	This node only works in GPU systems for the time being.	—
Functions/Math/InterpolateOverTime_Float.uasset	InterpolateOverTime_Float	660 | 1	Converges to a target float value over time.
Functions/Math/InterpolateOverTime_LinearColor.uasset	InterpolateOverTime_LinearColor	Converges to a target linear color over time.	—
Functions/Math/InterpolateOverTime_Position.uasset	InterpolateOverTime_Position	Converges to a target vector value over time.	—
Functions/Math/InterpolateOverTime_Quaternion.uasset	InterpolateOverTime_Quaternion	Converges to a target orientation over time.	—
Functions/Math/InterpolateOverTime_V2.uasset	InterpolateOverTime_V2	Converges to a target vector 2d value over time.	—
Functions/Math/InterpolateOverTime_V3_.uasset	InterpolateOverTime_V3_	Converges to a target vector value over time.	—
Functions/Math/InterpolateOverTime_V4.uasset	InterpolateOverTime_V4	Converges to a target float4 value over time.	—
Functions/Math/IsValueWithinRange.uasset	IsValueWithinRange	Returns true if X is between the min and max range.	—
Functions/Math/IsVectorParallel.uasset	IsVectorParallel	668 | 1	Returns true if VectorA and VectorB are parallel.
Functions/Math/LerpMultipleNumeric_Fn.uasset	LerpMultipleNumeric_Fn	Lerp between 2-5 input vectors via a single float value.	—
Functions/Math/MaintainInCameraParticleScale.uasset	MaintainInCameraParticleScale	In-camera particle size can be retained by taking into account the camera's fov, the particle's camera relative depth and the render target's size.	—
Functions/Math/MaintainInCameraParticleScale_fn.uasset	MaintainInCameraParticleScale_fn	—	—
Functions/Math/MatchVelocityViaForce.uasset	MatchVelocityViaForce	Calculate the amount of force that would be needed to align the current particle's velocity to a target velocity.	—
Functions/Math/MinMaxOpWithValidChecks.uasset	MinMaxOpWithValidChecks	—	—
Functions/Math/MultiplyTransforms.uasset	MultiplyTransforms	—	—
Functions/Math/NearlyEqual.uasset	NearlyEqual	Checks if two numeric inputs are nearly equal.	—
Functions/Math/Nlerp_Function.uasset	Nlerp_Function	Normalizes and then scales the result of linearly interpolated vectors. 	—
Functions/Math/PlaceParticlesOnA_Rectangle_fn.uasset	PlaceParticlesOnA_Rectangle_fn	—	—
Functions/Math/RemapValueRange.uasset	RemapValueRange	Take an input float within the expected input range, and remaps it to the target range.	—
Functions/Math/SaturateFloat.uasset	SaturateFloat	—	—
Functions/Math/ScaleAndOffsetVector.uasset	ScaleAndOffsetVector	Scales a vector and then offsets its value. This can be used to pan 3D texture coordinates or to constant scale bias a vector.	—
